ID,Node Sensor Number,Name,Category,Notes,Latitude,Longitude
37,O39,"Campbell Ave & Addison St, Chicago, IL",Urban Air Quality and Health Education,,41.94672,-87.69287
31,0AA,"Dearborn St  & Lake St, Chicago, IL",Urban Vehicle and Pedestrian Flow,,41.88575,-87.6317
40,O34,"Milwaukee Ave  & Wabansia Ave, Chicago, IL",Urban Placemaking,,41.91235,-87.68214
5,0A7,"Upper Wacker Dr  & Randolph St, Chicago, IL",Urban Impact on Climate & Weather,,41.88442,-87.63675
68,10,"Homan Ave. & Roosevelt Rd., Chicago, IL",COMPASS Study,,41.86635,-87.71054
73,97,"Pulaski Rd. & 71st St., Chicago, IL",COMPASS Study,,41.7641,-87.72236
62,,"California Ave. & Devon Ave., Chicago, IL",COMPASS Study,,41.99756,-87.69964
74,0A1,"Halsted St. & 99th St., Chicago, IL",COMPASS Study,,41.71421,-87.643
23,04C,"Western Ave  & 25th St, Chicago, IL",Urban Air Quality and Health Education,,41.84651,-87.68563
39,75,"Milwaukee Ave & Wood St, Chicago, IL",Urban Placemaking,,41.90722,-87.67469
56,89,"Chicago Ave. & Noble St., Chicago, IL",Vision Zero - Other High Crash Locations,,41.89615,-87.6624
13,00A,"Lake Shore Drive  & Fullerton Ave, Chicago, IL",Urban Impact on Climate & Weather,,41.92626,-87.63076
24,O28,"Western Blvd  & 35th St, Chicago, IL",Urban Air Quality and Health Education,"single node with PM. ?Ã­Ã§Upwind of highway for measuring ""Before"" air that moves in to Pilsen.",41.83038,-87.68486
44,8D,"Cicero Ave. & Chicago Ave., Chicago, IL",Vision Zero - Pedestrian High Crash Intersection,,41.895,-87.74581
90,48,"Damen Ave. & Webster, Chicago, IL",Public Health Air Quality Bloomberg Project,,41.9214,-87.67775
35,4,"State St  & Jackson Blvd, Chicago, IL",Urban Vehicle and Pedestrian Flow,single node with PM,41.87821,-87.62761
29,O38,"Damen Ave & Archer Ave, Chicago, IL",Urban Air Quality and Health Education,single node,41.83174,-87.67532
32,O14,"State St  & Washington St, Chicago, IL",Urban Vehicle and Pedestrian Flow,single node,41.88321,-87.62777
15,,"Lake Shore Drive & Monroe St, Chicago, IL",Urban Impact on Climate & Weather,,41.88093,-87.61944
63,,"Broadway Ave. & Elmdale Ave., Chicago, IL",COMPASS Study,,41.99092,-87.66029
2,09C,"State St  & Randolph St, Chicago, IL",Urban Impact on Climate & Weather,First node in E-W transect over different building forms (skyscraper to 2-flat),41.88451,-87.62795
51,2A,"Jeffrey Ave. & 95th St., Chicago, IL",Vision Zero - Pedestrian High Crash Intersection,,41.72247,-87.57536
18,00D,"Cornell Dr  & 47th St, Chicago, IL",Urban Impact on Climate & Weather,,41.81024,-87.59029
36,,"State St  & Van Buren St, Chicago, IL",Urban Vehicle and Pedestrian Flow,single node,41.87694,-87.62756
20,O40,"Lake Shore Drive  & 85th St, Chicago, IL",Urban Impact on Climate & Weather,,41.74109,-87.54018
92,,"Kedzie Ave. & Lake St., Chicago, IL",Community Suggestion,,41.88435,-87.70622
25,O53,"Racine Ave  & 18th St, Chicago, IL",Urban Air Quality and Health Education,single node with PM. ?Ã­Ã§Downwind of smelter at Loomis and 21st.,41.85799,-87.65652
66,30,"Halsted St. & 34th St., Chicago, IL",COMPASS Study,,41.83281,-87.64615
88,96,"Ave L & 100th, Chicago, IL",Public Health Air Quality Bloomberg Project,,41.71388,-87.53649
52,80,"Broadway Ave. & Lawrence Ave., Chicago, IL",Vision Zero - Other High Crash Locations,,41.96902,-87.65967
71,8F,"Clark St. & Montrose Ave., Chicago, IL",Studio Gang/BET Study,,41.96164,-87.66595
106,71,"UChicago, Ratner",Array of Things (?),,41.79447,-87.60163
96,07D,"Cottage Grove Ave. & 93rd St, Chicago, IL",Northwestern-CNT (Chatham Project),,41.72936,-87.60465
49,20,"Western Ave. & 69th St., Chicago, IL",Vision Zero - Pedestrian High Crash Intersection,,41.76833,-87.68334
54,6B,"Ashland Ave. & 59th St., Chicago, IL",Vision Zero - Other High Crash Locations,,41.78675,-87.66439
100,54,"Western Ave. & Addison St., Chicago, IL",Lane of Things,,41.94673,-87.68826
46,,"Fairbanks Ct. & Ontario St., Chicago, IL",Vision Zero - Pedestrian High Crash Intersection,,41.89341,-87.62028
50,85,"Ashland Ave. & 79th St., Chicago, IL",Vision Zero - Pedestrian High Crash Intersection,,41.75036,-87.66344
59,90,"Milwaukee Ave. & Belmont Ave, Chicago, IL",Vision Zero - Other High Crash Locations,,41.93913,-87.72392
34,,"State St  & Adams St, Chicago, IL",Urban Vehicle and Pedestrian Flow,single node,41.87951,-87.62764
87,95,"Ave O & 126th, Chicago, IL",Public Health Air Quality Bloomberg Project,,41.66611,-87.5393
27,O4E,"Damen Ave  & Chicago Int'l Produce Mkt, Chicago, IL",Urban Air Quality and Health Education,,41.84534,-87.67786
80,07B,"Ashland Ave. & Harrison, Chicago, IL",BRT,,41.8742,-87.6666
9,03C,"Kedzie Ave  & 5th Ave, Chicago, IL",Urban Impact on Climate & Weather,,41.87838,-87.70823
22,O25,"Western Ave  & 18th St, Chicago, IL",Urban Air Quality and Health Education,specific corner not yet determined,41.85722,-87.68583
91,,"Clinton St. & Jackson Ave., Chicago, IL",Community Suggestion,,41.87803,-87.64107
43,5D,"Pulaski Rd. & Chicago Ave., Chicago, IL",Vision Zero - Pedestrian High Crash Intersection,,41.89537,-87.72608
58,08C,"Western Ave. & Fullterton Ave, Chicago, IL",Vision Zero - Other High Crash Locations,,41.9249,-87.68764
16,OO6,"Lake Shore Drive  & 18th Dr, Chicago, IL",Urban Impact on Climate & Weather,,41.85818,-87.6162
69,76,"Pulaski Rd. & 27th St., Chicago, IL",COMPASS Study,,41.84241,-87.7245
101,0A4,"Western Ave. & Roscoe Ave., Chicago, IL",Lane of Things,,41.9431,-87.68815
93,86,"Damen Ave. & Lawrence Ave., Chicago, IL",Community Suggestion,,41.96876,-87.67919
38,O50,"Ashland Av  & Division St, Chicago, IL",Urban Placemaking,,41.90351,-87.66716
10,O3F,"Pulaski Rd  & Madison St, Chicago, IL",Urban Impact on Climate & Weather,,41.88082,-87.72556
78,09D,"Ashland Ave. & 31st Pl , Chicago, IL",BRT,,41.83871,-87.66578
6,03D,"Halsted St & Randolph St, Chicago, IL",Urban Impact on Climate & Weather,,41.88458,-87.64736
84,9,"Elston & Cortland St., Chicago, IL",North Branch Framework Project,,41.91719,-87.65828
